home_team,away_team,game_date,home_result
Seattle SuperSonics,Washington Bullets,17 February 1989,W
Phoenix Suns,Boston Celtics,17 February 1989,W
Charlotte Hornets,Indiana Pacers,18 February 1989,W
Cleveland Cavaliers,Philadelphia 76ers,18 February 1989,W
Utah Jazz,San Antonio Spurs,18 February 1989,W
Dallas Mavericks,Houston Rockets,18 February 1989,L
Portland Trail Blazers,Seattle SuperSonics,18 February 1989,L
New York Knicks,New Jersey Nets,18 February 1989,W
Sacramento Kings,Phoenix Suns,18 February 1989,L
Golden State Warriors,Detroit Pistons,18 February 1989,W
Los Angeles Clippers,Washington Bullets,18 February 1989,L
Milwaukee Bucks,Chicago Bulls,19 February 1989,L
Los Angeles Lakers,Boston Celtics,19 February 1989,W
Miami Heat,Atlanta Hawks,19 February 1989,W
Sacramento Kings,Los Angeles Lakers,20 February 1989,L
Utah Jazz,Phoenix Suns,20 February 1989,W
Cleveland Cavaliers,Houston Rockets,20 February 1989,W
Denver Nuggets,Detroit Pistons,20 February 1989,W
Atlanta Hawks,Los Angeles Clippers,20 February 1989,W
San Antonio Spurs,Dallas Mavericks,20 February 1989,L
New Jersey Nets,Miami Heat,20 February 1989,W
Chicago Bulls,Portland Trail Blazers,20 February 1989,W
Milwaukee Bucks,Indiana Pacers,21 February 1989,W
Seattle SuperSonics,Boston Celtics,21 February 1989,W
Phoenix Suns,Golden State Warriors,21 February 1989,W
New York Knicks,Houston Rockets,21 February 1989,W
Washington Bullets,Los Angeles Clippers,21 February 1989,W
Utah Jazz,Los Angeles Lakers,22 February 1989,W
Charlotte Hornets,Chicago Bulls,22 February 1989,L
Miami Heat,Philadelphia 76ers,22 February 1989,L
San Antonio Spurs,Golden State Warriors,22 February 1989,L
Denver Nuggets,Dallas Mavericks,22 February 1989,W
Sacramento Kings,Boston Celtics,22 February 1989,L
Detroit Pistons,Portland Trail Blazers,22 February 1989,W
Cleveland Cavaliers,New Jersey Nets,22 February 1989,W
New Jersey Nets,Los Angeles Clippers,23 February 1989,W
New York Knicks,Charlotte Hornets,23 February 1989,W
Atlanta Hawks,Indiana Pacers,23 February 1989,W
Indiana Pacers,San Antonio Spurs,24 February 1989,W
Dallas Mavericks,Golden State Warriors,24 February 1989,L
Los Angeles Lakers,Sacramento Kings,24 February 1989,W
Washington Bullets,New York Knicks,24 February 1989,W
Miami Heat,Los Angeles Clippers,24 February 1989,W
Cleveland Cavaliers,Portland Trail Blazers,24 February 1989,W
Boston Celtics,Milwaukee Bucks,24 February 1989,W
Phoenix Suns,Philadelphia 76ers,24 February 1989,W
Chicago Bulls,Houston Rockets,24 February 1989,W
Denver Nuggets,Utah Jazz,24 February 1989,W
Atlanta Hawks,Chicago Bulls,25 February 1989,W
Milwaukee Bucks,Houston Rockets,25 February 1989,W
Dallas Mavericks,Washington Bullets,25 February 1989,W
Charlotte Hornets,San Antonio Spurs,25 February 1989,W
New Jersey Nets,Detroit Pistons,25 February 1989,L
Seattle SuperSonics,Sacramento Kings,25 February 1989,L
Denver Nuggets,Philadelphia 76ers,26 February 1989,W
Miami Heat,Portland Trail Blazers,26 February 1989,L
Los Angeles Lakers,Phoenix Suns,26 February 1989,W
Detroit Pistons,Los Angeles Clippers,26 February 1989,W
New York Knicks,Boston Celtics,26 February 1989,W
Indiana Pacers,Utah Jazz,26 February 1989,W
New Jersey Nets,Utah Jazz,27 February 1989,L
Houston Rockets,Washington Bullets,27 February 1989,L
Golden State Warriors,Denver Nuggets,27 February 1989,W
Sacramento Kings,Seattle SuperSonics,27 February 1989,L
Atlanta Hawks,Dallas Mavericks,27 February 1989,W
Milwaukee Bucks,San Antonio Spurs,27 February 1989,W
Los Angeles Clippers,Philadelphia 76ers,28 February 1989,L
Chicago Bulls,San Antonio Spurs,28 February 1989,W
Miami Heat,Dallas Mavericks,28 February 1989,L
Charlotte Hornets,Boston Celtics,28 February 1989,L
Cleveland Cavaliers,Detroit Pistons,28 February 1989,W
Portland Trail Blazers,Phoenix Suns,28 February 1989,W
Seattle SuperSonics,Indiana Pacers,28 February 1989,L
Sacramento Kings,Philadelphia 76ers,01 March 1989,L
Boston Celtics,Atlanta Hawks,01 March 1989,W
Los Angeles Lakers,Golden State Warriors,01 March 1989,W
Detroit Pistons,Utah Jazz,01 March 1989,W
Washington Bullets,New Jersey Nets,01 March 1989,W
Milwaukee Bucks,New York Knicks,01 March 1989,W
Phoenix Suns,Sacramento Kings,02 March 1989,W
Cleveland Cavaliers,San Antonio Spurs,02 March 1989,W
Los Angeles Clippers,Portland Trail Blazers,02 March 1989,L
New Jersey Nets,Charlotte Hornets,02 March 1989,W
New York Knicks,Miami Heat,02 March 1989,W
Denver Nuggets,Houston Rockets,02 March 1989,W
Golden State Warriors,Indiana Pacers,02 March 1989,L
Miami Heat,Utah Jazz,03 March 1989,L
Seattle SuperSonics,Houston Rockets,03 March 1989,W
Detroit Pistons,Cleveland Cavaliers,03 March 1989,W
Boston Celtics,Dallas Mavericks,03 March 1989,W
Los Angeles Lakers,Indiana Pacers,03 March 1989,W
Chicago Bulls,Milwaukee Bucks,03 March 1989,W
Atlanta Hawks,Charlotte Hornets,03 March 1989,W
Portland Trail Blazers,Philadelphia 76ers,03 March 1989,W
Phoenix Suns,Los Angeles Clippers,04 March 1989,W
San Antonio Spurs,Denver Nuggets,04 March 1989,W
Washington Bullets,Dallas Mavericks,04 March 1989,W
New Jersey Nets,Boston Celtics,04 March 1989,W
Seattle SuperSonics,Philadelphia 76ers,04 March 1989,W
New York Knicks,Chicago Bulls,04 March 1989,W
Golden State Warriors,Sacramento Kings,04 March 1989,W
Portland Trail Blazers,Indiana Pacers,05 March 1989,L
Cleveland Cavaliers,Milwaukee Bucks,05 March 1989,L
Atlanta Hawks,Utah Jazz,05 March 1989,L
Washington Bullets,Charlotte Hornets,05 March 1989,W
Miami Heat,Detroit Pistons,05 March 1989,L
Houston Rockets,Los Angeles Lakers,05 March 1989,W
Sacramento Kings,Golden State Warriors,05 March 1989,W
Dallas Mavericks,New Jersey Nets,06 March 1989,W
Detroit Pistons,Denver Nuggets,06 March 1989,W
Philadelphia 76ers,Phoenix Suns,06 March 1989,L
Atlanta Hawks,Los Angeles Lakers,07 March 1989,L
Milwaukee Bucks,Washington Bullets,07 March 1989,W
Chicago Bulls,Philadelphia 76ers,07 March 1989,L
Golden State Warriors,Los Angeles Clippers,07 March 1989,W
New York Knicks,Phoenix Suns,07 March 1989,W
San Antonio Spurs,Portland Trail Blazers,07 March 1989,L
Sacramento Kings,Cleveland Cavaliers,07 March 1989,L
Indiana Pacers,Seattle SuperSonics,07 March 1989,L
Charlotte Hornets,Denver Nuggets,08 March 1989,L
Dallas Mavericks,Portland Trail Blazers,08 March 1989,W
Boston Celtics,Chicago Bulls,08 March 1989,W
Detroit Pistons,Seattle SuperSonics,08 March 1989,W
Miami Heat,Los Angeles Lakers,08 March 1989,L
Washington Bullets,Atlanta Hawks,08 March 1989,W
Utah Jazz,Houston Rockets,08 March 1989,W
Golden State Warriors,Cleveland Cavaliers,09 March 1989,W
Philadelphia 76ers,Sacramento Kings,09 March 1989,W
San Antonio Spurs,New Jersey Nets,09 March 1989,W
Houston Rockets,Dallas Mavericks,10 March 1989,W
Washington Bullets,Sacramento Kings,10 March 1989,W
Charlotte Hornets,Los Angeles Lakers,10 March 1989,L
Milwaukee Bucks,Seattle SuperSonics,10 March 1989,W
Indiana Pacers,Phoenix Suns,10 March 1989,W
Miami Heat,Denver Nuggets,10 March 1989,W
Los Angeles Clippers,Cleveland Cavaliers,10 March 1989,W
Utah Jazz,Golden State Warriors,10 March 1989,W
Houston Rockets,New Jersey Nets,11 March 1989,W
New York Knicks,Indiana Pacers,11 March 1989,W
Atlanta Hawks,Miami Heat,11 March 1989,W
Philadelphia 76ers,Detroit Pistons,11 March 1989,L
San Antonio Spurs,Dallas Mavericks,11 March 1989,W
Chicago Bulls,Seattle SuperSonics,11 March 1989,W
Milwaukee Bucks,Phoenix Suns,11 March 1989,W
Detroit Pistons,Washington Bullets,12 March 1989,W
Boston Celtics,Denver Nuggets,12 March 1989,W
Golden State Warriors,Los Angeles Lakers,12 March 1989,L
Portland Trail Blazers,Cleveland Cavaliers,12 March 1989,L
Charlotte Hornets,Sacramento Kings,12 March 1989,L
Miami Heat,Phoenix Suns,13 March 1989,L
Utah Jazz,Cleveland Cavaliers,13 March 1989,W
San Antonio Spurs,Los Angeles Clippers,13 March 1989,L
Los Angeles Lakers,Houston Rockets,13 March 1989,W
Boston Celtics,New Jersey Nets,13 March 1989,W
Washington Bullets,Seattle SuperSonics,13 March 1989,W
Chicago Bulls,Indiana Pacers,13 March 1989,W
Dallas Mavericks,Milwaukee Bucks,13 March 1989,L
New York Knicks,Seattle SuperSonics,14 March 1989,W
Portland Trail Blazers,Golden State Warriors,14 March 1989,W
Denver Nuggets,Charlotte Hornets,14 March 1989,W
Sacramento Kings,Houston Rockets,14 March 1989,W
Atlanta Hawks,Phoenix Suns,14 March 1989,L
Indiana Pacers,Detroit Pistons,14 March 1989,L
San Antonio Spurs,Milwaukee Bucks,15 March 1989,W
Philadelphia 76ers,New Jersey Nets,15 March 1989,W
Cleveland Cavaliers,Chicago Bulls,15 March 1989,W
Golden State Warriors,Dallas Mavericks,15 March 1989,W
Utah Jazz,Portland Trail Blazers,15 March 1989,W
Los Angeles Clippers,Miami Heat,15 March 1989,L
Denver Nuggets,San Antonio Spurs,16 March 1989,W
Sacramento Kings,Atlanta Hawks,16 March 1989,L
Indiana Pacers,Boston Celtics,16 March 1989,L
Houston Rockets,Milwaukee Bucks,16 March 1989,W
Seattle SuperSonics,Charlotte Hornets,16 March 1989,W
New York Knicks,Philadelphia 76ers,16 March 1989,L
Chicago Bulls,New York Knicks,17 March 1989,W
Los Angeles Clippers,Charlotte Hornets,17 March 1989,L
New Jersey Nets,Washington Bullets,17 March 1989,L
Los Angeles Lakers,Dallas Mavericks,17 March 1989,W
Golden State Warriors,Atlanta Hawks,17 March 1989,W
Detroit Pistons,Boston Celtics,17 March 1989,W
Phoenix Suns,Portland Trail Blazers,17 March 1989,W
Utah Jazz,Miami Heat,17 March 1989,W
Phoenix Suns,Seattle SuperSonics,18 March 1989,W
Houston Rockets,Portland Trail Blazers,18 March 1989,W
Denver Nuggets,Miami Heat,18 March 1989,W
Washington Bullets,Philadelphia 76ers,18 March 1989,W
Indiana Pacers,Chicago Bulls,18 March 1989,W
Milwaukee Bucks,Detroit Pistons,18 March 1989,W
San Antonio Spurs,Utah Jazz,18 March 1989,W
Sacramento Kings,Dallas Mavericks,18 March 1989,W
New Jersey Nets,Cleveland Cavaliers,19 March 1989,L
New York Knicks,Milwaukee Bucks,19 March 1989,W
Los Angeles Lakers,Atlanta Hawks,19 March 1989,L
Golden State Warriors,Charlotte Hornets,19 March 1989,W
Portland Trail Blazers,Dallas Mavericks,20 March 1989,W
Cleveland Cavaliers,Washington Bullets,20 March 1989,W
Boston Celtics,San Antonio Spurs,20 March 1989,W
Phoenix Suns,Miami Heat,20 March 1989,W
Sacramento Kings,Charlotte Hornets,20 March 1989,L
Philadelphia 76ers,New York Knicks,20 March 1989,L
Seattle SuperSonics,Utah Jazz,21 March 1989,W
Los Angeles Lakers,Chicago Bulls,21 March 1989,L
Milwaukee Bucks,Boston Celtics,21 March 1989,W
Houston Rockets,Denver Nuggets,21 March 1989,L
New Jersey Nets,Indiana Pacers,21 March 1989,L
Golden State Warriors,Portland Trail Blazers,21 March 1989,W
Atlanta Hawks,Detroit Pistons,21 March 1989,L
Phoenix Suns,Chicago Bulls,22 March 1989,L
Los Angeles Clippers,Dallas Mavericks,22 March 1989,W
Philadelphia 76ers,Cleveland Cavaliers,22 March 1989,W
Miami Heat,New York Knicks,22 March 1989,W
Detroit Pistons,San Antonio Spurs,22 March 1989,W
Indiana Pacers,Washington Bullets,22 March 1989,W
Cleveland Cavaliers,Milwaukee Bucks,23 March 1989,W
Seattle SuperSonics,Los Angeles Clippers,23 March 1989,W
Golden State Warriors,Phoenix Suns,23 March 1989,L
Charlotte Hornets,Washington Bullets,23 March 1989,L
Sacramento Kings,Los Angeles Lakers,23 March 1989,L
Detroit Pistons,New Jersey Nets,24 March 1989,W
Houston Rockets,Utah Jazz,24 March 1989,L
Philadelphia 76ers,San Antonio Spurs,24 March 1989,W
Portland Trail Blazers,Chicago Bulls,24 March 1989,L
Boston Celtics,New York Knicks,24 March 1989,W
Dallas Mavericks,Denver Nuggets,24 March 1989,L
Seattle SuperSonics,Chicago Bulls,25 March 1989,L
Los Angeles Clippers,Phoenix Suns,25 March 1989,L
Milwaukee Bucks,Cleveland Cavaliers,25 March 1989,W
Washington Bullets,Indiana Pacers,25 March 1989,W
Charlotte Hornets,Detroit Pistons,25 March 1989,L
Sacramento Kings,Portland Trail Blazers,25 March 1989,W
Utah Jazz,Denver Nuggets,25 March 1989,W
New York Knicks,Atlanta Hawks,25 March 1989,L
Miami Heat,San Antonio Spurs,25 March 1989,W
Houston Rockets,Golden State Warriors,25 March 1989,W
Los Angeles Lakers,Phoenix Suns,26 March 1989,W
Boston Celtics,Philadelphia 76ers,26 March 1989,W
Utah Jazz,Seattle SuperSonics,27 March 1989,W
Los Angeles Clippers,Denver Nuggets,27 March 1989,W
Indiana Pacers,Cleveland Cavaliers,27 March 1989,W
Charlotte Hornets,New York Knicks,27 March 1989,L
Miami Heat,New Jersey Nets,27 March 1989,W
Detroit Pistons,Dallas Mavericks,27 March 1989,W
Milwaukee Bucks,Golden State Warriors,27 March 1989,W
New Jersey Nets,Atlanta Hawks,28 March 1989,W
Philadelphia 76ers,Boston Celtics,28 March 1989,W
Chicago Bulls,Golden State Warriors,28 March 1989,W
San Antonio Spurs,Washington Bullets,28 March 1989,W
Cleveland Cavaliers,Dallas Mavericks,28 March 1989,W
New York Knicks,Portland Trail Blazers,28 March 1989,W
Houston Rockets,Seattle SuperSonics,28 March 1989,W
Phoenix Suns,Los Angeles Lakers,28 March 1989,W
Milwaukee Bucks,Chicago Bulls,29 March 1989,L
Atlanta Hawks,Washington Bullets,29 March 1989,W
Indiana Pacers,Miami Heat,29 March 1989,W
Los Angeles Clippers,Sacramento Kings,29 March 1989,W
Utah Jazz,Detroit Pistons,29 March 1989,L
Boston Celtics,Portland Trail Blazers,29 March 1989,W
New York Knicks,Dallas Mavericks,30 March 1989,W
Denver Nuggets,Seattle SuperSonics,30 March 1989,W
New Jersey Nets,Houston Rockets,30 March 1989,L
Charlotte Hornets,Golden State Warriors,30 March 1989,L
Sacramento Kings,Phoenix Suns,30 March 1989,W
Los Angeles Lakers,San Antonio Spurs,30 March 1989,W
Washington Bullets,Portland Trail Blazers,31 March 1989,W
Philadelphia 76ers,Miami Heat,31 March 1989,W
Chicago Bulls,Cleveland Cavaliers,31 March 1989,L
Atlanta Hawks,New Jersey Nets,31 March 1989,W
New York Knicks,Golden State Warriors,31 March 1989,L
Los Angeles Clippers,San Antonio Spurs,31 March 1989,W
Phoenix Suns,Milwaukee Bucks,31 March 1989,W
Boston Celtics,Houston Rockets,31 March 1989,W
Indiana Pacers,Dallas Mavericks,31 March 1989,L
Seattle SuperSonics,Detroit Pistons,31 March 1989,L
Charlotte Hornets,Portland Trail Blazers,01 April 1989,L
Sacramento Kings,Utah Jazz,01 April 1989,W
Denver Nuggets,Los Angeles Lakers,01 April 1989,W
Indiana Pacers,Atlanta Hawks,02 April 1989,L
Chicago Bulls,New Jersey Nets,02 April 1989,W
Washington Bullets,Golden State Warriors,02 April 1989,W
Philadelphia 76ers,Houston Rockets,02 April 1989,W
Cleveland Cavaliers,Boston Celtics,02 April 1989,W
Dallas Mavericks,Miami Heat,02 April 1989,W
Los Angeles Lakers,Milwaukee Bucks,02 April 1989,W
Los Angeles Clippers,Detroit Pistons,02 April 1989,L
Chicago Bulls,Charlotte Hornets,04 April 1989,W
Golden State Warriors,Milwaukee Bucks,04 April 1989,L
Utah Jazz,Dallas Mavericks,04 April 1989,W
Indiana Pacers,Houston Rockets,04 April 1989,L
Portland Trail Blazers,Detroit Pistons,04 April 1989,W
New York Knicks,Philadelphia 76ers,04 April 1989,L
Seattle SuperSonics,Los Angeles Lakers,04 April 1989,L
Los Angeles Clippers,Boston Celtics,04 April 1989,L
Washington Bullets,New Jersey Nets,04 April 1989,W
Denver Nuggets,Sacramento Kings,04 April 1989,W
San Antonio Spurs,Miami Heat,04 April 1989,W
Cleveland Cavaliers,Atlanta Hawks,04 April 1989,W
Phoenix Suns,Utah Jazz,05 April 1989,W
Atlanta Hawks,Philadelphia 76ers,05 April 1989,W
Denver Nuggets,Indiana Pacers,06 April 1989,W
Seattle SuperSonics,Phoenix Suns,06 April 1989,L
San Antonio Spurs,Sacramento Kings,06 April 1989,W
Miami Heat,Washington Bullets,06 April 1989,L
Detroit Pistons,Chicago Bulls,06 April 1989,W
Golden State Warriors,Boston Celtics,06 April 1989,W
Los Angeles Clippers,Portland Trail Blazers,06 April 1989,W
Milwaukee Bucks,New York Knicks,06 April 1989,L
Dallas Mavericks,Sacramento Kings,07 April 1989,W
Chicago Bulls,Detroit Pistons,07 April 1989,L
Atlanta Hawks,Houston Rockets,07 April 1989,W
Los Angeles Lakers,Utah Jazz,07 April 1989,L
Washington Bullets,Cleveland Cavaliers,07 April 1989,W
Portland Trail Blazers,Boston Celtics,07 April 1989,W
New Jersey Nets,New York Knicks,07 April 1989,W
Charlotte Hornets,Philadelphia 76ers,07 April 1989,L
Miami Heat,Houston Rockets,08 April 1989,W
Dallas Mavericks,Seattle SuperSonics,08 April 1989,L
Milwaukee Bucks,Philadelphia 76ers,08 April 1989,W
Golden State Warriors,Los Angeles Lakers,08 April 1989,W
Los Angeles Clippers,Phoenix Suns,08 April 1989,L
Denver Nuggets,Utah Jazz,08 April 1989,W
San Antonio Spurs,Indiana Pacers,08 April 1989,L
Washington Bullets,New York Knicks,09 April 1989,L
Portland Trail Blazers,Denver Nuggets,09 April 1989,W
Cleveland Cavaliers,Charlotte Hornets,09 April 1989,W
Atlanta Hawks,Chicago Bulls,09 April 1989,W
Detroit Pistons,Milwaukee Bucks,09 April 1989,W
Charlotte Hornets,Atlanta Hawks,10 April 1989,L
Dallas Mavericks,Indiana Pacers,10 April 1989,L
San Antonio Spurs,Seattle SuperSonics,10 April 1989,L
Boston Celtics,New Jersey Nets,10 April 1989,W
Sacramento Kings,Miami Heat,10 April 1989,W
Washington Bullets,Detroit Pistons,10 April 1989,L
Los Angeles Lakers,Los Angeles Clippers,10 April 1989,W
Houston Rockets,Indiana Pacers,11 April 1989,W
Milwaukee Bucks,New Jersey Nets,11 April 1989,W
Cleveland Cavaliers,Philadelphia 76ers,11 April 1989,W
Portland Trail Blazers,Los Angeles Clippers,11 April 1989,W
Golden State Warriors,Miami Heat,11 April 1989,W
Dallas Mavericks,Phoenix Suns,12 April 1989,L
New York Knicks,Charlotte Hornets,12 April 1989,L
Washington Bullets,Milwaukee Bucks,12 April 1989,W
Utah Jazz,Denver Nuggets,12 April 1989,W
Detroit Pistons,Cleveland Cavaliers,12 April 1989,W
San Antonio Spurs,Los Angeles Lakers,12 April 1989,L
Indiana Pacers,Chicago Bulls,13 April 1989,W
Los Angeles Clippers,Golden State Warriors,13 April 1989,W
Houston Rockets,Phoenix Suns,13 April 1989,L
Sacramento Kings,Denver Nuggets,13 April 1989,W
Seattle SuperSonics,Miami Heat,13 April 1989,W
Atlanta Hawks,Boston Celtics,13 April 1989,W
Boston Celtics,Cleveland Cavaliers,14 April 1989,W
Utah Jazz,Houston Rockets,14 April 1989,W
Portland Trail Blazers,Miami Heat,14 April 1989,W
Philadelphia 76ers,Charlotte Hornets,14 April 1989,L
San Antonio Spurs,Dallas Mavericks,14 April 1989,L
New York Knicks,Detroit Pistons,14 April 1989,W
New Jersey Nets,Chicago Bulls,14 April 1989,W
Phoenix Suns,San Antonio Spurs,15 April 1989,W
Portland Trail Blazers,Utah Jazz,15 April 1989,L
Los Angeles Clippers,Los Angeles Lakers,15 April 1989,W
Atlanta Hawks,Milwaukee Bucks,15 April 1989,W
Seattle SuperSonics,Denver Nuggets,15 April 1989,W
Golden State Warriors,Sacramento Kings,15 April 1989,L
Indiana Pacers,Charlotte Hornets,15 April 1989,W
Philadelphia 76ers,New York Knicks,16 April 1989,W
Detroit Pistons,Washington Bullets,16 April 1989,W
Cleveland Cavaliers,Chicago Bulls,16 April 1989,W
Dallas Mavericks,Houston Rockets,16 April 1989,L
Los Angeles Lakers,Miami Heat,16 April 1989,W
New Jersey Nets,Milwaukee Bucks,16 April 1989,L
Phoenix Suns,Sacramento Kings,17 April 1989,W
Los Angeles Clippers,Utah Jazz,17 April 1989,L
Golden State Warriors,Seattle SuperSonics,17 April 1989,L
Houston Rockets,San Antonio Spurs,17 April 1989,W
Charlotte Hornets,Boston Celtics,17 April 1989,L
Chicago Bulls,New York Knicks,17 April 1989,W
Utah Jazz,Los Angeles Clippers,18 April 1989,L
Sacramento Kings,Portland Trail Blazers,18 April 1989,W
Philadelphia 76ers,Milwaukee Bucks,18 April 1989,W
Indiana Pacers,Atlanta Hawks,18 April 1989,L
Seattle SuperSonics,Golden State Warriors,18 April 1989,W
Cleveland Cavaliers,Detroit Pistons,18 April 1989,L
Boston Celtics,Washington Bullets,18 April 1989,L
Miami Heat,Dallas Mavericks,18 April 1989,L
Los Angeles Lakers,Denver Nuggets,18 April 1989,W
New Jersey Nets,Charlotte Hornets,18 April 1989,L
Detroit Pistons,Indiana Pacers,19 April 1989,W
Milwaukee Bucks,Atlanta Hawks,19 April 1989,L
San Antonio Spurs,Houston Rockets,19 April 1989,L
Miami Heat,Phoenix Suns,19 April 1989,L
New Jersey Nets,Philadelphia 76ers,20 April 1989,L
Denver Nuggets,San Antonio Spurs,20 April 1989,W
New York Knicks,Boston Celtics,20 April 1989,W
Los Angeles Lakers,Sacramento Kings,20 April 1989,W
Seattle SuperSonics,Portland Trail Blazers,20 April 1989,W
Washington Bullets,Chicago Bulls,20 April 1989,W
Los Angeles Clippers,Seattle SuperSonics,21 April 1989,L
Atlanta Hawks,Cleveland Cavaliers,21 April 1989,W
Detroit Pistons,Philadelphia 76ers,21 April 1989,W
Dallas Mavericks,Utah Jazz,21 April 1989,W
Indiana Pacers,Boston Celtics,21 April 1989,W
Charlotte Hornets,Milwaukee Bucks,21 April 1989,L
Golden State Warriors,Denver Nuggets,21 April 1989,L
Chicago Bulls,Washington Bullets,21 April 1989,W
Phoenix Suns,Houston Rockets,21 April 1989,L
Portland Trail Blazers,Los Angeles Lakers,21 April 1989,L
Sacramento Kings,Los Angeles Clippers,22 April 1989,W
Houston Rockets,Miami Heat,22 April 1989,L
Milwaukee Bucks,Indiana Pacers,22 April 1989,L
Utah Jazz,Golden State Warriors,22 April 1989,W
San Antonio Spurs,Phoenix Suns,22 April 1989,L
New York Knicks,New Jersey Nets,22 April 1989,W
Philadelphia 76ers,Washington Bullets,23 April 1989,W
Detroit Pistons,Atlanta Hawks,23 April 1989,W
Portland Trail Blazers,Sacramento Kings,23 April 1989,W
Boston Celtics,Charlotte Hornets,23 April 1989,W
Chicago Bulls,Cleveland Cavaliers,23 April 1989,L
Los Angeles Lakers,Seattle SuperSonics,23 April 1989,W
Denver Nuggets,Dallas Mavericks,23 April 1989,L
Utah Jazz,Golden State Warriors,27 April 1989,L
Los Angeles Lakers,Portland Trail Blazers,27 April 1989,W
Atlanta Hawks,Milwaukee Bucks,27 April 1989,W
New York Knicks,Philadelphia 76ers,27 April 1989,W
Seattle SuperSonics,Houston Rockets,28 April 1989,W
Phoenix Suns,Denver Nuggets,28 April 1989,W
Cleveland Cavaliers,Chicago Bulls,28 April 1989,L
Detroit Pistons,Boston Celtics,28 April 1989,W
Atlanta Hawks,Milwaukee Bucks,29 April 1989,L
New York Knicks,Philadelphia 76ers,29 April 1989,W
Utah Jazz,Golden State Warriors,29 April 1989,L
Cleveland Cavaliers,Chicago Bulls,30 April 1989,W
Detroit Pistons,Boston Celtics,30 April 1989,W
Los Angeles Lakers,Portland Trail Blazers,30 April 1989,W
Phoenix Suns,Denver Nuggets,30 April 1989,W
Seattle SuperSonics,Houston Rockets,30 April 1989,W
Golden State Warriors,Utah Jazz,02 May 1989,W
Boston Celtics,Detroit Pistons,02 May 1989,L
Milwaukee Bucks,Atlanta Hawks,02 May 1989,W
Philadelphia 76ers,New York Knicks,02 May 1989,L
Denver Nuggets,Phoenix Suns,02 May 1989,L
Chicago Bulls,Cleveland Cavaliers,03 May 1989,W
Houston Rockets,Seattle SuperSonics,03 May 1989,W
Portland Trail Blazers,Los Angeles Lakers,03 May 1989,L
Chicago Bulls,Cleveland Cavaliers,05 May 1989,L
Houston Rockets,Seattle SuperSonics,05 May 1989,L
Milwaukee Bucks,Atlanta Hawks,05 May 1989,L
Phoenix Suns,Golden State Warriors,06 May 1989,W
Cleveland Cavaliers,Chicago Bulls,07 May 1989,L
Los Angeles Lakers,Seattle SuperSonics,07 May 1989,W
Atlanta Hawks,Milwaukee Bucks,07 May 1989,L
Phoenix Suns,Golden State Warriors,09 May 1989,L
New York Knicks,Chicago Bulls,09 May 1989,L
Los Angeles Lakers,Seattle SuperSonics,10 May 1989,W
Detroit Pistons,Milwaukee Bucks,10 May 1989,W
Golden State Warriors,Phoenix Suns,11 May 1989,L
New York Knicks,Chicago Bulls,11 May 1989,W
Seattle SuperSonics,Los Angeles Lakers,12 May 1989,L
Detroit Pistons,Milwaukee Bucks,12 May 1989,W
Chicago Bulls,New York Knicks,13 May 1989,W
Golden State Warriors,Phoenix Suns,13 May 1989,L
Chicago Bulls,New York Knicks,14 May 1989,W
Milwaukee Bucks,Detroit Pistons,14 May 1989,L
Seattle SuperSonics,Los Angeles Lakers,14 May 1989,L
Milwaukee Bucks,Detroit Pistons,15 May 1989,L
New York Knicks,Chicago Bulls,16 May 1989,W
Phoenix Suns,Golden State Warriors,16 May 1989,W
Chicago Bulls,New York Knicks,19 May 1989,W
Los Angeles Lakers,Phoenix Suns,20 May 1989,W
Detroit Pistons,Chicago Bulls,21 May 1989,L
Los Angeles Lakers,Phoenix Suns,23 May 1989,W
Detroit Pistons,Chicago Bulls,23 May 1989,W
Phoenix Suns,Los Angeles Lakers,26 May 1989,L
Chicago Bulls,Detroit Pistons,27 May 1989,W
Phoenix Suns,Los Angeles Lakers,28 May 1989,L
Chicago Bulls,Detroit Pistons,29 May 1989,L
Detroit Pistons,Chicago Bulls,31 May 1989,W
Chicago Bulls,Detroit Pistons,02 June 1989,L
Detroit Pistons,Los Angeles Lakers,06 June 1989,W
Detroit Pistons,Los Angeles Lakers,08 June 1989,W
Los Angeles Lakers,Detroit Pistons,11 June 1989,L
Los Angeles Lakers,Detroit Pistons,13 June 1989,L
West NBA All Stars West,East NBA All Stars East,12 February 1989,W
West NBA All Stars West,East NBA All Stars East,12 February 1989,W
Phoenix Suns,Golden State Warriors,03 November 1989,W
Dallas Mavericks,Los Angeles Lakers,03 November 1989,L
Seattle SuperSonics,Minnesota Timberwolves,03 November 1989,W
Detroit Pistons,New York Knicks,03 November 1989,W
Los Angeles Clippers,Houston Rockets,03 November 1989,W
Atlanta Hawks,Indiana Pacers,03 November 1989,L
Chicago Bulls,Cleveland Cavaliers,03 November 1989,W
Charlotte Hornets,Washington Bullets,03 November 1989,L
Portland Trail Blazers,Sacramento Kings,03 November 1989,W
Miami Heat,New Jersey Nets,03 November 1989,L
Utah Jazz,Denver Nuggets,03 November 1989,W
Boston Celtics,Milwaukee Bucks,03 November 1989,W
Orlando Magic,New Jersey Nets,04 November 1989,L
Indiana Pacers,Cleveland Cavaliers,04 November 1989,W
Chicago Bulls,Boston Celtics,04 November 1989,L
Sacramento Kings,Seattle SuperSonics,04 November 1989,W
New York Knicks,Miami Heat,04 November 1989,W
