home_team,away_team,game_date,home_result
Pittsburgh Ironmen,Providence Steamrollers,15 January 1947,W
Philadelphia Warriors,Chicago Stags,16 January 1947,L
St. Louis Bombers,Cleveland Rebels,16 January 1947,L
Boston Celtics,Washington Capitols,16 January 1947,W
Toronto Huskies,Detroit Falcons,17 January 1947,L
Washington Capitols,Chicago Stags,18 January 1947,W
New York Knicks,Boston Celtics,18 January 1947,L
St. Louis Bombers,Providence Steamrollers,19 January 1947,W
Cleveland Rebels,New York Knicks,19 January 1947,W
Boston Celtics,Chicago Stags,20 January 1947,L
Pittsburgh Ironmen,Detroit Falcons,20 January 1947,W
Toronto Huskies,St. Louis Bombers,21 January 1947,W
Philadelphia Warriors,Boston Celtics,21 January 1947,W
Detroit Falcons,Cleveland Rebels,22 January 1947,L
Washington Capitols,Philadelphia Warriors,22 January 1947,W
New York Knicks,Chicago Stags,22 January 1947,W
Philadelphia Warriors,Cleveland Rebels,23 January 1947,W
Boston Celtics,Pittsburgh Ironmen,23 January 1947,W
Chicago Stags,Providence Steamrollers,23 January 1947,W
Toronto Huskies,Providence Steamrollers,24 January 1947,L
New York Knicks,Boston Celtics,25 January 1947,L
Washington Capitols,Pittsburgh Ironmen,25 January 1947,W
Detroit Falcons,Philadelphia Warriors,25 January 1947,L
Chicago Stags,Philadelphia Warriors,26 January 1947,W
St. Louis Bombers,Detroit Falcons,26 January 1947,W
Toronto Huskies,Cleveland Rebels,27 January 1947,L
Pittsburgh Ironmen,Providence Steamrollers,27 January 1947,W
Boston Celtics,Washington Capitols,27 January 1947,L
Cleveland Rebels,Toronto Huskies,28 January 1947,W
Washington Capitols,Boston Celtics,29 January 1947,W
Detroit Falcons,Providence Steamrollers,29 January 1947,L
New York Knicks,Pittsburgh Ironmen,29 January 1947,W
Boston Celtics,Pittsburgh Ironmen,30 January 1947,W
St. Louis Bombers,Providence Steamrollers,30 January 1947,L
Philadelphia Warriors,New York Knicks,30 January 1947,W
Toronto Huskies,Washington Capitols,31 January 1947,W
New York Knicks,Philadelphia Warriors,01 February 1947,L
St. Louis Bombers,Cleveland Rebels,01 February 1947,W
Providence Steamrollers,Pittsburgh Ironmen,01 February 1947,W
Detroit Falcons,New York Knicks,02 February 1947,W
Chicago Stags,Toronto Huskies,02 February 1947,W
Cleveland Rebels,Washington Capitols,02 February 1947,L
Pittsburgh Ironmen,St. Louis Bombers,03 February 1947,W
Philadelphia Warriors,Boston Celtics,03 February 1947,W
Philadelphia Warriors,Providence Steamrollers,04 February 1947,W
New York Knicks,St. Louis Bombers,05 February 1947,L
Detroit Falcons,Washington Capitols,05 February 1947,L
Pittsburgh Ironmen,Toronto Huskies,05 February 1947,L
Providence Steamrollers,St. Louis Bombers,06 February 1947,L
Philadelphia Warriors,Toronto Huskies,06 February 1947,W
Boston Celtics,New York Knicks,06 February 1947,W
Chicago Stags,Pittsburgh Ironmen,06 February 1947,W
Detroit Falcons,Pittsburgh Ironmen,08 February 1947,W
Providence Steamrollers,Philadelphia Warriors,08 February 1947,W
